Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ковпак,Варвара,Богданівна,Жіноча,1953-06-21,Кінорежисер,село Саки ,"провулок Павла Кравцова, буд. 19, Луцьк, 65256",719 89 35,oatroshchenko@example.org
Деряжна,Святослава,Георгіївна,Жіноча,1990-07-26,Стропальник,село Дубляни,"набережна Костанді, буд. 4, Городенка, 33741",055 743-29-69,hanna93@example.com
Ісаєнко,Устим,Миколайович,Чоловіча,1964-12-05,Менеджер,село Комарно,"парк Тепличний 1-й, буд. 28 кв. 69, Жданівка, 93900",087 245 20 04,hennadii63@example.com
Рак,Варвара,Вікторівна,Жіноча,1989-04-23,Клоун,село Теплодар,"сквер Брестська, буд. 5, Балта, 19868",+380 14 625-72-60,arkadiiartemenko@example.com
Штепа,Орест,Петрович,Чоловіча,1982-02-11,Різноробочий,місто Шахтарськ,"вулиця Кузнечна, буд. 32, Дубляни, 87295",+380 82 082-26-57,iukhymmasliak@example.org
Супруненко,Августин,Іванович,Чоловіча,1962-07-08,Кінорежисер,місто Вовчанськ,"набережна Спартаківський, буд. 6, Шепетівка, 61298",154 95 84,azarkonoplenko@example.com
Коваленко,Марина,Михайлівна,Жіноча,1974-08-04,Фрілансер,селище Кіцмань,"проспект 5-та Лінія Марії Демченко, буд. 75, Новий Калинів, 29490",+380 79 904-81-07,wvasylechko@example.com
Павличенко,Георгій,Андрійович,Чоловіча,1989-12-21,Акушер,місто Монастириська,"площа Лузанівський, буд. 493, Ланівці, 20676",870-60-15,darahanorysia@example.net
Гаврилюк,Максим,Дмитрович,Чоловіча,1965-09-27,Дизайнер,селище Кіцмань,"провулок Обривиста, буд. 23, Алмазна, 42239",+380 38 186 55 97,romanetssolomiia@example.com
Дашкевич,Прохір,Тарасович,Чоловіча,1991-10-19,Провізор,місто Мена ,"вулиця Івана Франка, буд. 94 кв. 1, Турка, 66082",+380 01 266-06-78,kashchenkoodarka@example.org
Палій,Аврелій,Сергійович,Чоловіча,1964-02-14,Каскадер,хутір Валки ,"вулиця Івана Франка, буд. 394 кв. 80, Мирноград, 09302",+380 (59) 121-84-73,makar09@example.net
Стельмах,Аніта,Степанівна,Жіноча,2003-07-23,Психолог,місто Валки ,"проспект Матроська Слобідка, буд. 050 кв. 6, Мукачево, 18230",+380 (61) 835-97-84,jzhuchenko@example.org
Ісаєвич,Теодор,Володимирович,Чоловіча,1991-02-02,Секретар,село Генічеськ,"проспект Іванова, буд. 326 кв. 15, Трускавець, 79987",+380 19 692-17-91,deinekaparmen@example.org
Семенченко,Юстим,Юрійович,Чоловіча,1982-01-05,Гірник,хутір Глобине,"вулиця Кришталева, буд. 4, Алупка, 89450",+380 (96) 348-91-42,charnyshleonid@example.com
Яремків,Валентин,Миколайович,Чоловіча,1951-12-27,Дантист,хутір Тисмениця,"набережна Вітчизняна, буд. 34, Переяслав, 75498",436-96-26,svitlanaeibozhenko@example.org
Вишняк,Орина,Сергіївна,Жіноча,1945-12-13,Електромонтер,село Гірське,"парк Грузинська, буд. 0 кв. 45, Арциз, 92940",245 85 32,hanna02@example.net
Атаманчук,Ада,Сергіївна,Жіноча,1984-09-04,Зоолог,селище Новоукраїнка,"шосе Олександра Кутузакія, буд. 8, Святогірськ, 03727",+380 (68) 633-70-20,tetianakolesnychenko@example.net
Цимбал,Альбіна,Богданівна,Жіноча,1996-11-07,Реабілітолог,селище Стебник,"шосе Бірюкова, буд. 453, Путивль, 48909",099 180 42 55,albert57@example.org
Василенко,Ярема,Богданович,Чоловіча,1981-02-25,Фольклорист,селище Шостка,"провулок Єлисаветградський, буд. 8 кв. 1, Чигирин, 95122",+380 27 987-17-35,riabovilvarvara@example.net
Матяш,Тереза,Олегівна,Жіноча,1976-04-12,Геолог,місто Слов'янськ,"провулок Водний, буд. 15, Нова Одеса, 69698",+380 (27) 206-81-20,fomenkovioletta@example.org
Аверченко,Єфрем,Романович,Чоловіча,1947-01-27,Модель,місто Гірське,"узвіз Балківська, буд. 12, Судова Вишня, 05061",093-37-88,iprotsenko@example.org
Єрченко,Дарина,Богданівна,Жіноча,1949-03-04,Випробувач,селище Ізмаїл,"сквер Лінія 50-та, буд. 840, Чорнобиль, 20707",+380 (31) 310-08-78,nataliiababiuk@example.org
Іщенко,Ірина,Василівна,Жіноча,1981-09-29,Науковець,селище Знам'янка,"сквер Олександра Невського 5-й, буд. 5 кв. 6, Помічна, 84335",+380 (72) 416-68-11,opanasenkoiosyp@example.org
Атаманчук,Пантелеймон,Андрійович,Чоловіча,1981-03-03,Шериф,село Гребінка,"площа Шевченка, буд. 7 кв. 99, Зимогір'я, 61596",+380 82 965 28 14,bieroshenko@example.com
Гавришкевич,Анастасія,Юріївна,Жіноча,2001-07-21,Інженер,хутір Антрацит ,"площа Пролетарський 3-й, буд. 093, Вільногірськ, 42609",481-75-49,valeriisemenchenko@example.com
Якимчук,Віктор,Михайлович,Чоловіча,1984-05-02,Правник,селище Надвірна,"шосе Олександра Невського 2-й, буд. 75, Лубни, 24379",082 016 34 58,galaganada@example.com
Конопля,Надія,Миколаївна,Жіноча,1944-06-12,Фермер,селище Лутугине,"узвіз Пассіонарії, буд. 807 кв. 44, Петрово-Красносілля, 72782",+380 67 017-81-80,ievhenkharchenko@example.org
Зінкевич,Варвара,Богданівна,Жіноча,1939-07-13,Швачка,місто Помічна,"сквер Строганов міст, буд. 814, Рудки, 75973",109-30-22,volodymyrveres@example.net
Корсун,Орина,Михайлівна,Жіноча,1954-11-02,Письменник,місто Арциз,"вулиця Сталепрокатна, буд. 304 кв. 772, Лозова , 77922",017 167 35 54,amvrosiinestaiko@example.com
Засядько,Мартин,Степанович,Чоловіча,1944-08-29,Літературознавець,хутір Новий Калинів,"парк Проїзний 1-й, буд. 297, Івано-Франківськ, 91380",624 02 94,tkachenkoboleslav@example.org
Тимчук,Георгій,Сергійович,Чоловіча,1985-12-21,Реставратор,селище Макіївка,"площа Лінія 48-ма, буд. 691 кв. 58, Шаргород, 37420",904-54-53,semenkhomyk@example.org
Акуленко,Єлисавета,Сергіївна,Жіноча,1982-09-12,Палеонтолог,хутір Чернівці,"сквер Індійська, буд. 63 кв. 54, Новогродівка, 95844",+380 28 900-53-19,tarassemenchenko@example.net
Червоненко,Амалія,Василівна,Жіноча,1993-02-14,Фотограф,селище Токмак,"парк Москвіна, буд. 6 кв. 0, Миронівка, 17584",+380 (12) 230-79-03,dzakharchenko@example.org
Хомик,Вʼячеслав,Степанович,Чоловіча,1969-02-09,Візажист,селище Луцьк,"вулиця Восьмого Березня Лінія 3-тя, буд. 574, Бобровиця, 35064",+380 53 419-43-73,myroslavchala@example.org
Пʼятаченко,Світлана,Миколаївна,Жіноча,1953-08-30,Підприємець,селище Каховка,"вулиця Спаський, буд. 514, Севастополь, 43515",+380 79 302 99 09,nadiiakyrylenko@example.net
Аврамчук,Амалія,Павлівна,Жіноча,2004-07-21,Єгер,село Білицьке,"набережна Орликова, буд. 03, Комарно, 22705",+380 56 540-94-68,romandeineko@example.org
Скопенко,Камілла,Олегівна,Жіноча,1947-06-20,Слідчий,хутір Золоте,"набережна Новаторів, буд. 0 кв. 5, Каховка, 59351",+380 22 494-55-33,hpanchuk@example.org
Єресько,Артем,Георгійович,Чоловіча,1970-12-02,Швачка,місто Шпола,"набережна Авдєєва-Чорноморського, буд. 91 кв. 769, Остер , 67769",+380 (60) 118-57-19,baranetsruslan@example.org
Юрченко,Болеслав,Миколайович,Чоловіча,1977-04-04,Бухгалтер,хутір Сєвєродонецьк,"шосе Мічуріна, буд. 0, Дружківка, 30688",+380 42 674 58 24,vakarchukoleksa@example.net
Бабʼяк,Дмитро,Степанович,Чоловіча,1968-07-16,Графік,місто Чугуїв,"проспект Лузанівка, буд. 003, Запоріжжя, 58492",029 701 01 18,kostiantyn29@example.com
